sweep,value,config_tag,dataset,run_id,fitness,accuracy,n_selected_features,runtime_seconds
gamma,0.5,final,ColonCancer,1,0.16157384615384615,0.8397435897435898,584,459.88244195794687
umr_k,8.0,final,ColonCancer,1,0.16157384615384615,0.8397435897435898,584,459.88244195794687
gamma,0.5,final,ColonCancer,2,0.08401076923076928,0.9179487179487179,556,457.15423358394764
umr_k,8.0,final,ColonCancer,2,0.08401076923076928,0.9179487179487179,556,457.15423358394764
gamma,0.5,final,ColonCancer,3,0.12850884615384625,0.873076923076923,571,456.8892557080835
umr_k,8.0,final,ColonCancer,3,0.12850884615384625,0.873076923076923,571,456.8892557080835
gamma,0.5,final,ColonCancer,4,0.10053576923076922,0.9012820512820513,561,444.1035492499359
umr_k,8.0,final,ColonCancer,4,0.10053576923076922,0.9012820512820513,561,444.1035492499359
gamma,0.5,final,ColonCancer,5,0.14621307692307695,0.8551282051282051,558,442.5634030420333
umr_k,8.0,final,ColonCancer,5,0.14621307692307695,0.8551282051282051,558,442.5634030420333
gamma,0.75,final,Zoo,0,0.025424999999999906,0.9800000000000001,9,151.88679362484254
gamma,0.75,final,Zoo,1,0.025424999999999906,0.9800000000000001,9,155.45419499999844
gamma,0.75,final,Zoo,2,0.022924999999999907,0.9800000000000001,5,174.95020624995232
gamma,0.75,final,Zoo,3,0.022453571428571403,0.9804761904761905,5,178.65706187509932
gamma,0.5,final,ColonCancer,7,0.09545384615384615,0.9064102564102564,560,445.3994962910656
umr_k,8.0,final,ColonCancer,7,0.09545384615384615,0.9064102564102564,560,445.3994962910656
gamma,0.5,final,ColonCancer,6,0.11465230769230762,0.8871794871794872,592,447.22678012494
umr_k,8.0,final,ColonCancer,6,0.11465230769230762,0.8871794871794872,592,447.22678012494
gamma,0.75,final,Zoo,4,0.022453571428571514,0.9804761904761904,5,185.90353229199536
gamma,0.75,final,Zoo,5,0.02417499999999991,0.9800000000000001,7,188.81316816690378
gamma,0.5,final,ColonCancer,8,0.12830384615384627,0.873076923076923,530,452.31518695806153
umr_k,8.0,final,ColonCancer,8,0.12830384615384627,0.873076923076923,530,452.31518695806153
gamma,0.5,final,ColonCancer,9,0.1158365384615384,0.885897435897436,575,456.63405929110013
umr_k,8.0,final,ColonCancer,9,0.1158365384615384,0.885897435897436,575,456.63405929110013
gamma,0.75,final,Zoo,6,0.022924999999999907,0.9800000000000001,5,191.17323345900513
