algorithm,dataset,run_id,heldout_accuracy,train_cv_fitness,n_selected_features,n_total_features,runtime_seconds
RIME,GermanCredit,15,0.705,0.294075,9,20,483.58688950003125
RIME,GermanCredit,16,0.715,0.29236249999999997,13,20,486.3413530001417
RIME,GermanCredit,17,0.7,0.30966250000000006,8,20,477.7719759999309
RIME,GermanCredit,18,0.695,0.2579500000000001,11,20,487.478016207926
RIME,GermanCredit,19,0.69,0.3071875,8,20,481.22197299986146
RIME,GermanCredit,20,0.705,0.313875,9,20,485.5837417501025
RIME,GermanCredit,21,0.715,0.27306250000000004,14,20,499.6725663749967
RIME,GermanCredit,22,0.7,0.29333750000000003,10,20,486.2146960841492
RIME,GermanCredit,23,0.675,0.2943125,7,20,476.9250346249901
RIME,GermanCredit,24,0.73,0.2567124999999999,11,20,484.34631241695024
RIME,GermanCredit,25,0.715,0.2958125,10,20,483.8657983751036
RIME,GermanCredit,26,0.685,0.27922499999999995,9,20,484.5411772499792
RIME,HeartDisease,0,0.75,0.26791325695581014,6,13,214.6060968749225
RIME,GermanCredit,27,0.685,0.3012625000000001,11,20,482.7346422499977
RIME,HeartDisease,1,0.7333333333333333,0.2574433306055647,3,13,214.59043870819733
RIME,HeartDisease,2,0.7833333333333333,0.22396828968903432,9,13,215.50775904208422
RIME,HeartDisease,3,0.7,0.24684942716857616,6,13,217.82826808304526
RIME,GermanCredit,28,0.73,0.3076875,9,20,476.81380566605367
RIME,HeartDisease,4,0.7666666666666667,0.21453089198036013,7,13,218.6114740408957
RIME,HeartDisease,6,0.7,0.23008612929623562,6,13,216.3009822499007
RIME,HeartDisease,5,0.8666666666666667,0.31124386252045827,3,13,217.34387904102914
RIME,HeartDisease,7,0.7166666666666667,0.24048895253682495,8,13,218.79694775003009
RIME,GermanCredit,29,0.74,0.27206250000000004,12,20,491.7834716660436
RIME,HeartDisease,8,0.8333333333333334,0.21898629296235672,8,13,218.5747687909752
RIME,HeartDisease,9,0.8,0.25097442716857615,6,13,218.1529075000435
RIME,HeartDisease,10,0.7166666666666667,0.235243657937807,7,13,217.00975374993868
RIME,HeartDisease,11,0.7,0.3052137888707039,6,13,218.0600080830045
RIME,HeartDisease,12,0.8166666666666667,0.267562193126023,6,13,219.5597775829956
RIME,HeartDisease,13,0.8166666666666667,0.2343866612111294,6,13,218.8888917081058
RIME,HeartDisease,14,0.7333333333333333,0.19940936988543373,4,13,218.5238082918804
RIME,HeartDisease,15,0.8666666666666667,0.22028211947626836,9,13,218.71086425008252
RIME,HeartDisease,16,0.7833333333333333,0.24761865793780682,7,13,214.38287429185584
RIME,HeartDisease,17,0.7,0.2830503273322422,4,13,214.5871774579864
RIME,HeartDisease,18,0.8,0.2269936579378069,7,13,214.24290054198354
RIME,HeartDisease,19,0.6166666666666667,0.3879099836333878,5,13,215.05766887497157
RIME,HeartDisease,21,0.7166666666666667,0.27100572831423897,5,13,214.50175583409145
RIME,HeartDisease,20,0.8,0.278052782324059,8,13,214.7474323338829
RIME,HeartDisease,22,0.7333333333333333,0.2076438216039279,9,13,214.2232949170284
RIME,HeartDisease,23,0.8166666666666667,0.24127373158756138,4,13,212.03976929211058
RIME,HeartDisease,24,0.85,0.25707671849427177,8,13,204.77298087486997
RIME,HeartDisease,25,0.7833333333333333,0.25244578559738134,7,13,204.0797872908879
RIME,HeartDisease,26,0.7333333333333333,0.1880462356792144,6,13,200.94393520895392
RIME,HeartDisease,27,0.7333333333333333,0.2091100654664485,6,13,198.15644675004296
RIME,HeartDisease,29,0.7,0.26534226677577744,3,13,195.00923849991523
RIME,HeartDisease,28,0.8333333333333334,0.18381792144026185,11,13,196.14208879205398
RIME,IonosphereEW,0,0.9014084507042254,0.18237394957983197,19,34,367.68331625009887
RIME,IonosphereEW,1,0.8028169014084507,0.1417163865546218,13,34,342.5390446251258
RIME,IonosphereEW,3,0.8873239436619719,0.13081512605042006,12,34,280.03955483296886
RIME,IonosphereEW,2,0.8873239436619719,0.1428928571428571,17,34,346.8097245830577
RIME,IonosphereEW,4,0.8873239436619719,0.1788382352941177,19,34,330.97122241719626
RIME,IonosphereEW,6,0.8028169014084507,0.1738319327731093,14,34,316.5538878329098
RIME,IonosphereEW,5,0.8591549295774648,0.1596890756302521,14,34,328.6439280419145
RIME,IonosphereEW,7,0.7464788732394366,0.14259873949579827,16,34,330.8251953329891
RIME,IonosphereEW,9,0.8873239436619719,0.1879747899159664,14,34,292.962384250015
RIME,IonosphereEW,8,0.8873239436619719,0.17442016806722682,16,34,324.36850016610697
RIME,IonosphereEW,10,0.8028169014084507,0.12933823529411764,19,34,328.9779516251292
RIME,IonosphereEW,12,0.9014084507042254,0.13818067226890762,13,34,291.0899694580585
RIME,IonosphereEW,13,0.8169014084507042,0.13935714285714293,17,34,319.4766952909995
RIME,IonosphereEW,15,0.8591549295774648,0.15527100840336125,11,34,315.7976470841095
