group,compared_with,p_value,RG-SCSO_mean,other_mean,cohens_d,rank_biserial_r,p_value_holm,mark
Vote,COA,0.00010523301979041712,0.9560283687943264,0.8964539007092199,0.8934845307791142,0.8689458689458689,0.0001942702921248313,+
Vote,GWO,9.484888611864312e-06,0.9560283687943264,0.9021276595744683,1.3543460324621914,0.9735449735449735,4.742444305932156e-05,+
Vote,PSO,4.857311987101453e-06,0.9560283687943264,0.891489361702128,1.4060665465346727,0.9876847290640394,2.9143871922608718e-05,+
Vote,RIME,2.141328832726281e-05,0.9560283687943264,0.9028368794326244,1.1481209945740993,0.9338624338624338,8.565315330905125e-05,+
Vote,SCSO,9.400395239787138e-05,0.9560283687943264,0.8836879432624112,0.8638891950979282,0.8923076923076924,0.0001942702921248313,+
WDBC,AOA,0.30979116237988247,0.9666666666666665,0.9649122807017544,0.13177734805753938,0.2631578947368421,0.30979116237988247,=
WDBC,COA,0.02760097522984658,0.9666666666666665,0.9581871345029238,0.469442107498252,0.5454545454545454,0.05520195045969316,=
WDBC,GWO,0.0014338247219412336,0.9666666666666665,0.9543859649122806,0.6582033935776032,0.7122507122507122,0.008602948331647401,+
WDBC,PSO,0.010920936022385737,0.9666666666666665,0.9532163742690059,0.5760562437990759,0.5582010582010583,0.045492302367018664,+
WDBC,RIME,0.012112567172082053,0.9666666666666665,0.9558479532163742,0.5164823468886272,0.5833333333333334,0.045492302367018664,+
WDBC,SCSO,0.009098460473403732,0.9666666666666665,0.956140350877193,0.5485112153038627,0.6195652173913043,0.045492302367018664,+
WaveformEW,AOA,1.7333066441991056e-06,0.8153000000000002,0.7571,0.885573872117092,1.0,6.924505579678915e-06,+
WaveformEW,COA,3.725290298461914e-09,0.8153000000000002,0.7505333333333334,1.0878051252176368,0.9956989247311828,1.862645149230957e-08,+
WaveformEW,GWO,1.7333066441991056e-06,0.8153000000000002,0.6862666666666666,2.231091397474168,1.0,6.924505579678915e-06,+
WaveformEW,PSO,1.7311263949197288e-06,0.8153000000000002,0.7238,1.5570720537915697,1.0,6.924505579678915e-06,+
WaveformEW,RIME,1.862645149230957e-09,0.8153000000000002,0.7169666666666666,1.4542202291410509,1.0,1.1175870895385742e-08,+
WaveformEW,SCSO,1.917328010935302e-06,0.8153000000000002,0.7352000000000001,0.9074300087832836,0.9956989247311828,6.924505579678915e-06,+
Zoo,AOA,0.2194965853388431,0.907936507936508,0.9190476190476191,-0.3015209897000313,-0.3382352941176471,0.2194965853388431,=
Zoo,COA,0.0006497740614905915,0.907936507936508,0.8650793650793651,0.7416987906277963,0.861904761904762,0.002182912659613633,+
Zoo,GWO,3.712250085678163e-05,0.907936507936508,0.8269841269841272,1.0345870530653136,0.9566666666666667,0.00022273500514068977,+
Zoo,PSO,0.0001718199001774816,0.907936507936508,0.8476190476190476,0.8672273827165133,0.8376068376068376,0.000859099500887408,+
Zoo,RIME,0.0005457281649034083,0.907936507936508,0.8460317460317461,0.8014567339921332,0.8152173913043478,0.002182912659613633,+
Zoo,SCSO,0.000642133454095486,0.907936507936508,0.853968253968254,0.6846429857210924,0.8043478260869565,0.002182912659613633,+
