algorithm,dataset,metric,mean,std,best,worst
RIME,KrVsKpEW,train_cv_fitness,0.22378045269691776,0.09955206216136527,0.0641069517490215,0.3932652351394324
SCSO,KrVsKpEW,heldout_accuracy,0.8350520833333334,0.1019708803451655,0.9453125,0.603125
SCSO,KrVsKpEW,n_selected_features,17.533333333333335,3.190959451673152,25.0,12.0
SCSO,KrVsKpEW,train_cv_fitness,0.16825311939416174,0.09804864997736928,0.0677290774828768,0.3839553342098826
AOA,Leukemia,heldout_accuracy,0.9622222222222222,0.044499965321112875,1.0,0.8666666666666667
AOA,Leukemia,n_selected_features,3549.233333333333,70.72372696313137,3571.0,3188.0
AOA,Leukemia,train_cv_fitness,0.059889046018855564,0.024685501602239673,0.0261919630355644,0.1120000000000001
COA,Leukemia,heldout_accuracy,0.9466666666666667,0.05551109331909687,1.0,0.8
COA,Leukemia,n_selected_features,623.0,364.2310621935843,1593.0,59.0
COA,Leukemia,train_cv_fitness,0.06099460935312232,0.02932450579929749,0.0190875105012603,0.1413052366283953
GWO,Leukemia,heldout_accuracy,0.9577777777777778,0.05300826863056251,1.0,0.8
GWO,Leukemia,n_selected_features,1788.5666666666666,26.736595810902244,1862.0,1729.0
GWO,Leukemia,train_cv_fitness,0.05030858769719029,0.018857835454174594,0.0214537944553348,0.1069705964715767
PSO,Leukemia,heldout_accuracy,0.9600000000000001,0.047453681120139174,1.0,0.8666666666666667
PSO,Leukemia,n_selected_features,1780.8333333333333,31.41133907082317,1841.0,1717.0
PSO,Leukemia,train_cv_fitness,0.0514369317651451,0.021426683397187132,0.0213165779893588,0.0934173900868104
RG-SCSO,Leukemia,heldout_accuracy,0.9733333333333333,0.03691832827963592,1.0,0.8666666666666667
RG-SCSO,Leukemia,n_selected_features,957.4,18.333212120811417,1006.0,922.0
RG-SCSO,Leukemia,train_cv_fitness,0.015981041725007018,0.007363705527219644,0.0025819098291795,0.020741528983478
RIME,Leukemia,heldout_accuracy,0.9644444444444444,0.04786813161897338,1.0,0.8666666666666667
RIME,Leukemia,n_selected_features,1778.8666666666666,34.765627980649064,1860.0,1725.0
RIME,Leukemia,train_cv_fitness,0.057781424437599135,0.023214451728111207,0.0215378045365445,0.1099565947913749
SCSO,Leukemia,heldout_accuracy,0.9533333333333333,0.05747785402834472,1.0,0.8
SCSO,Leukemia,n_selected_features,1770.7333333333333,33.63126851937378,1840.0,1701.0
SCSO,Leukemia,train_cv_fitness,0.05135864837113783,0.025953328100408554,0.0048865863903668,0.1099425931111733
AOA,Lymphography,heldout_accuracy,0.8166666666666667,0.05494104584478274,0.9333333333333332,0.7
AOA,Lymphography,n_selected_features,17.866666666666667,0.42687494916218993,18.0,16.0
