algorithm,wrapper,prior,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO-MI,SVM,mi,Zoo,4,0.022453571428571514,0.9804761904761904,5,16,94.12154116597958
RG-SCSO-MI,SVM,mi,Zoo,5,0.022924999999999907,0.9800000000000001,5,16,94.15430987486616
RG-SCSO-MI,KNN,mi,Leukemia,27,0.01677517302076244,0.9857142857142858,940,3571,439.7895872918889
RG-SCSO-MI,KNN,mi,Leukemia,28,0.01679757570908504,0.9857142857142858,948,3571,440.1399478749372
RG-SCSO-MI,SVM,mi,Zoo,6,0.01490000000000001,0.99,8,16,104.83700579218566
RG-SCSO-MI,KNN,mi,Leukemia,29,0.016741568988278544,0.9857142857142858,928,3571,447.73933912510984
RG-SCSO-MI,SVM,mi,Zoo,7,0.01490000000000001,0.99,8,16,110.49062175001018
RG-SCSO-MI,SVM,mi,Zoo,8,0.022924999999999907,0.9800000000000001,5,16,109.46808224986307
RG-SCSO-MI,SVM,mi,Zoo,9,0.01427500000000001,0.99,7,16,111.38054391695186
RG-SCSO-MI,SVM,mi,Zoo,10,0.022924999999999907,0.9800000000000001,5,16,111.34313383419067
RG-SCSO-MI,SVM,mi,Zoo,11,0.01490000000000001,0.99,8,16,114.73124950006604
RG-SCSO-MI,SVM,mi,Zoo,12,0.023549999999999908,0.9800000000000001,6,16,115.91538229188882
RG-SCSO-MI,SVM,mi,Zoo,13,0.022924999999999907,0.9800000000000001,5,16,115.33020016713999
RG-SCSO-MI,SVM,mi,Zoo,14,0.01552500000000001,0.99,9,16,115.06422683293931
RG-SCSO-MI,SVM,mi,Zoo,15,0.022453571428571403,0.9804761904761905,5,16,122.13701237482019
RG-SCSO-MI,SVM,mi,Zoo,16,0.022924999999999907,0.9800000000000001,5,16,121.9742565411143
RG-SCSO-MI,SVM,mi,Zoo,17,0.022924999999999907,0.9800000000000001,5,16,122.08660512487404
RG-SCSO-MI,SVM,mi,Zoo,18,0.01615000000000001,0.99,10,16,125.17995358421467
RG-SCSO-MI,SVM,mi,Zoo,19,0.023549999999999908,0.9800000000000001,6,16,123.6790448341053
RG-SCSO-MI,SVM,mi,Zoo,20,0.01490000000000001,0.99,8,16,124.20014629210345
RG-SCSO-MI,SVM,mi,Zoo,21,0.022924999999999907,0.9800000000000001,5,16,122.85417054197751
RG-SCSO-MI,SVM,mi,Zoo,22,0.01490000000000001,0.99,8,16,124.02174345916137
RG-SCSO-MI,SVM,mi,Zoo,23,0.01490000000000001,0.99,8,16,121.7741455831565
RG-SCSO-MI,SVM,mi,Zoo,24,0.016303571428571396,0.9904761904761905,11,16,119.54009625012986
RG-SCSO-MI,SVM,mi,Zoo,25,0.022924999999999907,0.9800000000000001,5,16,120.51236537494697
RG-SCSO-MI,SVM,mi,Zoo,26,0.01490000000000001,0.99,8,16,120.69501333404332
RG-SCSO-MI,SVM,mi,Zoo,27,0.01552500000000001,0.99,9,16,118.94214145909064
RG-SCSO-MI,SVM,mi,Zoo,28,0.022924999999999907,0.9800000000000001,5,16,118.03961095795967
RG-SCSO-MI,SVM,mi,Zoo,29,0.022924999999999907,0.9800000000000001,5,16,118.32802704186179
RG-SCSO-MI,SVM,mi,Sonar,0,0.1029314750290361,0.8987224157955864,16,60,172.68784333392978
RG-SCSO-MI,SVM,mi,Sonar,2,0.10769744483159123,0.8940766550522647,17,60,174.27017387514934
RG-SCSO-MI,SVM,mi,Sonar,1,0.10463821138211384,0.8991869918699187,29,60,177.1001058339607
RG-SCSO-MI,SVM,mi,Sonar,3,0.10797909407665514,0.8939605110336817,18,60,171.80533879203722
RG-SCSO-MI,SVM,mi,Sonar,4,0.10841579558652734,0.8941927990708478,22,60,173.67860745918006
RG-SCSO-MI,SVM,mi,Sonar,5,0.1180743321718932,0.8844367015098722,22,60,171.71901108301245
RG-SCSO-MI,SVM,mi,Sonar,6,0.07012659698025558,0.9328687572590011,22,60,173.33952591684647
RG-SCSO-MI,SVM,mi,Sonar,7,0.09780894308943101,0.9040650406504064,17,60,171.95744808297604
RG-SCSO-MI,SVM,mi,Sonar,8,0.12122531939605109,0.8799070847851336,14,60,167.66281662508845
RG-SCSO-MI,SVM,mi,Sonar,9,0.09859059233449481,0.9039488966318234,21,60,168.85954520804808
RG-SCSO-MI,SVM,mi,Sonar,11,0.10331649245063887,0.8988385598141695,19,60,168.07041362510063
RG-SCSO-MI,SVM,mi,Sonar,10,0.1116701509872242,0.8898954703832752,16,60,172.8467787920963
RG-SCSO-MI,SVM,mi,Sonar,12,0.09888385598141707,0.9034843205574912,20,60,168.2468846249394
RG-SCSO-MI,SVM,mi,Sonar,13,0.11724099883855986,0.8844367015098722,17,60,169.00634466693737
RG-SCSO-MI,SVM,mi,Sonar,14,0.09338792102206747,0.908362369337979,16,60,169.96278312499635
RG-SCSO-MI,SVM,mi,Sonar,15,0.09370963995354244,0.9087108013937282,20,60,169.23323433287442
RG-SCSO-MI,SVM,mi,Sonar,16,0.0982804878048782,0.903252032520325,15,60,169.181241333019
RG-SCSO-MI,SVM,mi,Sonar,17,0.11571777003484324,0.8851335656213705,12,60,170.3135256250389
RG-SCSO-MI,SVM,mi,Sonar,18,0.10280487804878051,0.8991869918699187,18,60,169.89614299987443
RG-SCSO-MI,SVM,mi,Sonar,19,0.13114227642276424,0.8707317073170732,19,60,173.63635287503712
RG-SCSO-MI,SVM,mi,Sonar,20,0.11762601626016263,0.8845528455284553,20,60,169.94222558289766
RG-SCSO-MI,SVM,mi,Sonar,21,0.09747560975609758,0.9040650406504065,15,60,170.02138624992222
RG-SCSO-MI,SVM,mi,Sonar,22,0.11717770034843207,0.8846689895470383,18,60,172.38371079182252
RG-SCSO-MI,SVM,mi,Sonar,23,0.11739605110336815,0.8847851335656214,20,60,172.5072966669686
