beta,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
0.005,Zoo,5,0.02198749999999991,0.9800000000000001,7,16,175.44731383305043
0.005,Zoo,6,0.02167499999999991,0.9800000000000001,6,16,175.68369129206985
0.005,Zoo,7,0.020891071428571405,0.9804761904761905,5,16,173.7424716670066
0.005,Zoo,8,0.02136249999999991,0.9800000000000001,5,16,171.93352987477556
0.005,Zoo,9,0.02136249999999991,0.9800000000000001,5,16,174.22308704117313
0.005,Zoo,10,0.022299999999999907,0.9800000000000001,8,16,175.08566433284432
0.005,Zoo,11,0.02136249999999991,0.9800000000000001,5,16,176.49072762485594
0.005,Zoo,12,0.02136249999999991,0.9800000000000001,5,16,174.2911413339898
0.005,Zoo,13,0.022924999999999907,0.9800000000000001,10,16,174.77964945835993
0.005,Zoo,14,0.02136249999999991,0.9800000000000001,5,16,176.95558400033042
0.005,Zoo,15,0.020891071428571405,0.9804761904761905,5,16,179.8746884157881
