algorithm,dataset,metric,mean,std,best,worst
PSO,Diabetes,n_selected_features,3.8666666666666667,1.4079141387961918,6.0,1.0
RG-SCSO,Diabetes,accuracy,0.7600251817898876,0.005020936797033204,0.7708513708513708,0.7499108734402853
RG-SCSO,Diabetes,fitness,0.24328340336134452,0.005414166012940605,0.2318571428571429,0.2523802521008402
RG-SCSO,Diabetes,n_selected_features,4.566666666666666,1.2023125864580955,7.0,3.0
RIME,Diabetes,accuracy,0.6705882352941176,0.035685884734649204,0.7331126389949919,0.6108140225787284
RIME,Diabetes,fitness,0.33070098039215684,0.03483143284357614,0.270468487394958,0.3865441176470588
RIME,Diabetes,n_selected_features,3.6666666666666665,1.1642832797715321,6.0,1.0
SCSO,Diabetes,accuracy,0.6936652236652237,0.04767994877554964,0.7604957134368899,0.6185043714455479
SCSO,Diabetes,fitness,0.3082297619047619,0.04665364975071152,0.2408592436974789,0.3801806722689075
SCSO,Diabetes,n_selected_features,3.966666666666667,1.3034143197344767,7.0,2.0
SSA,Diabetes,accuracy,0.6604232804232805,0.18198393641282887,0.7643918173329938,0.0
SSA,Diabetes,fitness,0.34380595238095235,0.18030746951194832,0.2420021008403361,1.0
SSA,Diabetes,n_selected_features,5.566666666666666,2.445176658012441,8.0,0.0
WOA,Diabetes,accuracy,0.6882058682058682,0.13597581868928743,0.7577879636703166,0.0
WOA,Diabetes,fitness,0.3162178571428571,0.13420016645285254,0.2485399159663865,1.0
WOA,Diabetes,n_selected_features,5.766666666666667,2.5519056060564274,8.0,0.0
AOA,GermanCredit,accuracy,0.7412666666666666,0.005955016559357521,0.754,0.7310000000000001
AOA,GermanCredit,fitness,0.26609599999999994,0.005923058669302551,0.25304,0.2763099999999999
AOA,GermanCredit,n_selected_features,19.9,0.3,20.0,19.0
COA,GermanCredit,accuracy,0.7081,0.02445860448458443,0.752,0.648
COA,GermanCredit,fitness,0.2942643333333333,0.02356631447403027,0.2520199999999999,0.3529799999999999
COA,GermanCredit,n_selected_features,10.566666666666666,2.9403325586667157,20.0,6.0
ECL-SCSO,GermanCredit,accuracy,0.7093666666666666,0.018352989462815633,0.745,0.6729999999999999
ECL-SCSO,GermanCredit,fitness,0.292827,0.01797811246117529,0.25745,0.3297300000000001
ECL-SCSO,GermanCredit,n_selected_features,10.2,2.574231276841043,17.0,6.0
GA,GermanCredit,accuracy,0.6693,0.016468454693747064,0.6900000000000001,0.623
GA,GermanCredit,fitness,0.3313429999999999,0.016046340839373098,0.31289,0.37623
GA,GermanCredit,n_selected_features,7.9,2.196208854670551,13.0,3.0
GWO,GermanCredit,accuracy,0.6995,0.022826519664635697,0.741,0.658
GWO,GermanCredit,fitness,0.3024283333333333,0.02203355760097664,0.26241,0.34108
GWO,GermanCredit,n_selected_features,9.866666666666667,2.276449477195183,14.0,5.0
HHO,GermanCredit,accuracy,0.6687,0.18067671866255117,0.748,0.0
HHO,GermanCredit,fitness,0.334987,0.17937464018361127,0.25948,1.0
HHO,GermanCredit,n_selected_features,12.666666666666666,6.315765107165472,20.0,0.0
OOA,GermanCredit,accuracy,0.6592,0.22029319856349022,0.748,0.0
OOA,GermanCredit,fitness,0.3461753333333333,0.21840124228482666,0.25948,1.0
OOA,GermanCredit,n_selected_features,15.566666666666666,6.322886120189805,20.0,0.0
PSO,GermanCredit,accuracy,0.7090666666666666,0.02421285241813161,0.751,0.65
PSO,GermanCredit,fitness,0.29329066666666664,0.023449314692663294,0.25301,0.3515
PSO,GermanCredit,n_selected_features,10.533333333333333,2.045048220023729,15.0,7.0
RG-SCSO,GermanCredit,accuracy,0.7609666666666667,0.006750226333653989,0.775,0.7420000000000001
RG-SCSO,GermanCredit,fitness,0.24059299999999997,0.00621717521601788,0.2272499999999999,0.2569199999999998
RG-SCSO,GermanCredit,n_selected_features,7.9,1.7767010628315238,11.0,3.0
RIME,GermanCredit,accuracy,0.7050333333333333,0.026667687480461354,0.7550000000000001,0.6519999999999999
RIME,GermanCredit,fitness,0.29681699999999994,0.025611009891581122,0.2485499999999998,0.3475200000000001
RIME,GermanCredit,n_selected_features,9.6,2.4711670657134186,14.0,4.0
SCSO,GermanCredit,accuracy,0.7099333333333333,0.025501546794045434,0.752,0.659
SCSO,GermanCredit,fitness,0.2923993333333333,0.024478250881593274,0.2520199999999999,0.3425899999999999
SCSO,GermanCredit,n_selected_features,10.466666666666667,2.334285520001546,15.0,6.0
SSA,GermanCredit,accuracy,0.6900999999999999,0.13126013611654277,0.757,0.0
SSA,GermanCredit,fitness,0.312801,0.1303711181806257,0.2455699999999999,1.0
SSA,GermanCredit,n_selected_features,11.333333333333334,5.242984730941803,20.0,0.0
WOA,GermanCredit,accuracy,0.6980000000000001,0.1336071355379894,0.748,0.0
WOA,GermanCredit,fitness,0.30743,0.13201989971212674,0.25948,1.0
WOA,GermanCredit,n_selected_features,16.233333333333334,5.696100030332645,20.0,0.0
AOA,HeartDisease,accuracy,0.8197212806026365,0.009975241818381747,0.844858757062147,0.8046892655367233
AOA,HeartDisease,fitness,0.18839900912646668,0.009950953614380571,0.1635898305084745,0.2033576271186439
AOA,HeartDisease,n_selected_features,12.9,0.5385164807134504,13.0,10.0
COA,HeartDisease,accuracy,0.777497175141243,0.030478673978593253,0.8485310734463276,0.7240112994350282
COA,HeartDisease,fitness,0.22545728378965663,0.02952294023997346,0.1584157757496741,0.2770749674054759
COA,HeartDisease,n_selected_features,6.733333333333333,2.0965580258021848,11.0,1.0
ECL-SCSO,HeartDisease,accuracy,0.7678342749529191,0.032902075820883885,0.8184745762711865,0.7041242937853107
ECL-SCSO,HeartDisease,fitness,0.23443381138635372,0.032156946422607635,0.1858640156453715,0.2967631029986962
ECL-SCSO,HeartDisease,n_selected_features,5.966666666666667,1.5162087220725546,8.0,2.0
GA,HeartDisease,accuracy,0.6887758945386064,0.06216952050534848,0.7843502824858757,0.4848022598870057
GA,HeartDisease,fitness,0.3121118644067797,0.060458714545450896,0.2211855280312907,0.5108149934810952
GA,HeartDisease,n_selected_features,5.2,2.006655592438988,10.0,1.0
GWO,HeartDisease,accuracy,0.7470772128060263,0.04468500824520637,0.8047457627118645,0.6262711864406779
GWO,HeartDisease,fitness,0.2549063798348544,0.04365408669937201,0.1972037809647978,0.3715299869621904
GWO,HeartDisease,n_selected_features,5.866666666666666,1.6069294390925266,9.0,2.0
HHO,HeartDisease,accuracy,0.5866610169491525,0.32809106928105436,0.844858757062147,0.0
