group,compared_with,p_value,ECL-SCSO_mean,other_mean,mark
TicTacToe,PSO,0.054921628907322884,0.7163899796393252,0.6473916521233275,=
TicTacToe,SCSO,0.4898460879921913,0.7163899796393252,0.6683009744037229,=
TicTacToe,SSA,0.0020201820880174637,0.7163899796393252,0.755190154159395,-
TicTacToe,WOA,0.005382779985666275,0.7163899796393252,0.7287465459569518,-
Vote,AOA,0.001136754600840674,0.8869287696577245,0.921554116558742,-
Vote,COA,0.39305018074810505,0.8869287696577245,0.8609250693802034,=
Vote,GA,0.12291177665640797,0.8869287696577245,0.8753160653715693,=
Vote,GWO,0.4161298982799053,0.8869287696577245,0.8824082639531298,=
Vote,HHO,2.3519771945519353e-06,0.8869287696577245,0.1459481961147086,+
Vote,OOA,0.00022239725835124875,0.8869287696577245,0.31538390379278447,+
Vote,PSO,0.4556539795835747,0.8869287696577245,0.8987357385137218,=
Vote,SCSO,0.7765688337385654,0.8869287696577245,0.8929602220166513,=
Vote,SSA,4.421919584274292e-06,0.8869287696577245,0.31593586185630584,+
Vote,WOA,1.862645149230957e-08,0.8869287696577245,0.15273203823620105,+
WDBC,AOA,0.0001250051938269183,0.9549531646224706,0.9650354499818868,-
