config,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
bPSO-TVT,Lymphography,16,0.13980459770114945,0.8655172413793103,12,18,188.43907108413987
bPSO-TVT,Lymphography,18,0.12415478927203075,0.8790804597701148,8,18,187.41271058283746
bPSO-TVT,Lymphography,17,0.1380375478927203,0.8650574712643678,8,18,189.11670329188928
bPSO-TVT,Lymphography,19,0.12539310344827576,0.8783908045977012,9,18,191.5222985839937
bPSO-TVT,Lymphography,20,0.1371540229885057,0.8648275862068966,6,18,188.89688474987634
bPSO-TVT,Lymphography,22,0.1318659003831418,0.8724137931034482,10,18,186.54129750002176
bPSO-TVT,Lymphography,21,0.11451570881226052,0.892183908045977,14,18,199.27615312486887
bPSO-TVT,Lymphography,23,0.11353180076628343,0.8914942528735633,11,18,187.94671637495048
bPSO-TVT,Lymphography,24,0.11732720306513407,0.8859770114942529,8,18,187.45942966686562
bPSO-TVT,Lymphography,25,0.13846590038314185,0.8657471264367815,10,18,187.51119233318605
bPSO-TVT,Lymphography,26,0.12819770114942525,0.8772413793103448,12,18,188.1206032920163
bPSO-TVT,Lymphography,27,0.14486513409961685,0.8581609195402299,8,18,187.00688233296387
bPSO-TVT,Lymphography,28,0.12078773946360143,0.8852873563218392,13,18,188.9007195418235
bPSO-TVT,Lymphography,29,0.12013180076628358,0.8848275862068965,11,18,187.054291583132
bPSO-TVT,M-of-n,0,0.004615384615384616,1.0,6,13,516.6516374999192
bPSO-TVT,M-of-n,1,0.004615384615384616,1.0,6,13,521.9479180420749
bPSO-TVT,M-of-n,2,0.004615384615384616,1.0,6,13,520.907425167039
bPSO-TVT,M-of-n,3,0.004615384615384616,1.0,6,13,519.5512186251581
bPSO-TVT,M-of-n,4,0.004615384615384616,1.0,6,13,518.7967195829842
bPSO-TVT,M-of-n,5,0.004615384615384616,1.0,6,13,537.684419499943
bPSO-TVT,M-of-n,6,0.004615384615384616,1.0,6,13,521.728222124977
bPSO-TVT,M-of-n,7,0.004615384615384616,1.0,6,13,520.3807218330912
bPSO-TVT,M-of-n,8,0.004615384615384616,1.0,6,13,513.7648787500802
bPSO-TVT,M-of-n,9,0.004615384615384616,1.0,6,13,512.9360916251317
bPSO-TVT,M-of-n,10,0.004615384615384616,1.0,6,13,516.9965641661547
bPSO-TVT,M-of-n,12,0.004615384615384616,1.0,6,13,514.4527267499361
bPSO-TVT,M-of-n,11,0.004615384615384616,1.0,6,13,527.4535880840849
bPSO-TVT,M-of-n,13,0.008575384615384509,0.9960000000000001,6,13,523.9018744169734
bPSO-TVT,M-of-n,14,0.004615384615384616,1.0,6,13,534.0453566249926
bPSO-TVT,M-of-n,15,0.004615384615384616,1.0,6,13,512.9795497918967
bPSO-TVT,M-of-n,16,0.004615384615384616,1.0,6,13,518.7206122500356
bPSO-TVT,M-of-n,17,0.004615384615384616,1.0,6,13,520.1138752498664
bPSO-TVT,M-of-n,18,0.004615384615384616,1.0,6,13,515.8807769590057
bPSO-TVT,M-of-n,19,0.004615384615384616,1.0,6,13,524.5971919160802
bPSO-TVT,M-of-n,20,0.004615384615384616,1.0,6,13,518.7506127078086
bPSO-TVT,M-of-n,21,0.004615384615384616,1.0,6,13,520.913239666028
bPSO-TVT,M-of-n,22,0.004615384615384616,1.0,6,13,536.1993198751006
bPSO-TVT,M-of-n,23,0.004615384615384616,1.0,6,13,526.6773742919322
bPSO-TVT,Parkinsons,0,0.03273426573426585,0.9692307692307691,5,22,211.4946864589583
bPSO-TVT,Parkinsons,1,0.04425174825174833,0.9589743589743589,8,22,206.89589612488635
bPSO-TVT,M-of-n,24,0.004615384615384616,1.0,6,13,518.7774354580324
bPSO-TVT,M-of-n,25,0.004615384615384616,1.0,6,13,526.2968319579959
bPSO-TVT,M-of-n,26,0.004615384615384616,1.0,6,13,524.2692394580226
bPSO-TVT,Parkinsons,2,0.06039160839160841,0.9435897435897436,10,22,212.15314549999312
bPSO-TVT,M-of-n,27,0.004615384615384616,1.0,6,13,526.2134826660622
bPSO-TVT,M-of-n,28,0.004615384615384616,1.0,6,13,521.3770952080376
bPSO-TVT,M-of-n,29,0.004615384615384616,1.0,6,13,528.0611093749758
bPSO-TVT,Parkinsons,3,0.05160139860139866,0.9538461538461538,13,22,225.26037541707046
bPSO-TVT,Parkinsons,4,0.03917482517482527,0.964102564102564,8,22,211.89220091607422
bPSO-TVT,Parkinsons,5,0.0331888111888113,0.9692307692307691,6,22,212.8465503330808
bPSO-TVT,Parkinsons,6,0.05766433566433568,0.9435897435897436,4,22,210.84265420911834
bPSO-TVT,Parkinsons,7,0.04516083916083924,0.9589743589743589,10,22,211.482671540929
bPSO-TVT,Parkinsons,8,0.02902097902097893,0.9743589743589745,8,22,209.78206129185855
bPSO-TVT,Parkinsons,9,0.03500699300699312,0.9692307692307691,10,22,211.94374704104848
bPSO-TVT,Parkinsons,11,0.02902097902097893,0.9743589743589745,8,22,209.49774833302945
bPSO-TVT,Parkinsons,10,0.04887412587412593,0.9538461538461538,7,22,230.70989908394404
bPSO-TVT,Parkinsons,12,0.03917482517482527,0.964102564102564,8,22,205.51683091698214
bPSO-TVT,Parkinsons,13,0.04470629370629378,0.9589743589743589,9,22,210.8182595409453
bPSO-TVT,Parkinsons,14,0.04516083916083924,0.9589743589743589,10,22,213.95683191693388
bPSO-TVT,Parkinsons,15,0.038265734265734354,0.964102564102564,6,22,211.1240009998437
bPSO-TVT,Parkinsons,16,0.03962937062937072,0.964102564102564,9,22,209.8821338750422
bPSO-TVT,Parkinsons,17,0.02068531468531463,0.9846153846153847,12,22,207.06536329188384
bPSO-TVT,Parkinsons,18,0.03409790209790199,0.9692307692307693,8,22,211.9711245840881
bPSO-TVT,Parkinsons,19,0.029475524475524387,0.9743589743589745,9,22,208.23477329104207
bPSO-TVT,Parkinsons,20,0.059482517482517504,0.9435897435897436,8,22,211.99981154105626
bPSO-TVT,Parkinsons,23,0.038720279720279596,0.9641025641025642,7,22,208.88378566713072
bPSO-TVT,Parkinsons,21,0.038265734265734354,0.964102564102564,6,22,215.82485083397478
bPSO-TVT,Parkinsons,22,0.033643356643356756,0.9692307692307691,7,22,216.62195950001478
bPSO-TVT,Parkinsons,24,0.033643356643356756,0.9692307692307691,7,22,209.69793266709894
bPSO-TVT,Parkinsons,25,0.039174825174825054,0.9641025641025642,8,22,211.90325408312492
bPSO-TVT,Parkinsons,26,0.028566433566433475,0.9743589743589745,7,22,197.93254541698843
bPSO-TVT,Parkinsons,27,0.034552447552447664,0.9692307692307691,9,22,200.15276908292435
