algorithm,dataset,run_id,accuracy,n_selected_features,target_k
ConcreteAE,TicTacToe,18,0.7505562827225131,6,7
ConcreteAE,TicTacToe,19,0.6722294938917975,6,7
ConcreteAE,TicTacToe,20,0.7599040139616056,6,7
ConcreteAE,TicTacToe,21,0.7943717277486911,7,7
ConcreteAE,TicTacToe,22,0.7349094677137871,5,7
ConcreteAE,TicTacToe,23,0.675338132635253,6,7
ConcreteAE,TicTacToe,24,0.7358420593368238,6,7
ConcreteAE,TicTacToe,25,0.6670320680628272,6,7
ConcreteAE,TicTacToe,26,0.8131435427574172,7,7
ConcreteAE,TicTacToe,27,0.7370037085514834,6,7
ConcreteAE,TicTacToe,28,0.706675392670157,7,7
ConcreteAE,TicTacToe,29,0.7891252181500873,7,7
ConcreteAE,Vote,0,0.8104532839962998,3,3
ConcreteAE,Vote,1,0.8410730804810361,3,3
ConcreteAE,Vote,2,0.8278445883441258,3,3
ConcreteAE,Vote,3,0.9010175763182238,3,3
ConcreteAE,Vote,4,0.8705827937095283,2,3
ConcreteAE,Vote,5,0.7293246993524515,3,3
ConcreteAE,Vote,6,0.8619796484736355,3,3
ConcreteAE,Vote,7,0.8319148936170213,3,3
ConcreteAE,Vote,8,0.8488436632747456,3,3
ConcreteAE,Vote,9,0.9699352451433858,2,3
ConcreteAE,Vote,10,0.8145235892691952,3,3
ConcreteAE,Vote,11,0.8363552266419981,3,3
ConcreteAE,Vote,12,0.8619796484736355,3,3
ConcreteAE,Vote,13,0.840795559666975,3,3
ConcreteAE,Vote,14,0.831822386679001,2,3
ConcreteAE,Vote,15,0.8273820536540241,3,3
ConcreteAE,Vote,16,0.9696577243293246,2,3
ConcreteAE,Vote,17,0.8405180388529139,2,3
ConcreteAE,Vote,18,0.8361702127659575,3,3
ConcreteAE,Vote,19,0.818686401480111,3,3
ConcreteAE,Vote,20,0.849213691026827,3,3
ConcreteAE,Vote,21,0.6933395004625347,3,3
ConcreteAE,Vote,22,0.8493061979648473,3,3
ConcreteAE,Vote,23,0.866327474560592,2,3
ConcreteAE,Vote,24,0.8665124884366326,3,3
ConcreteAE,Vote,25,0.810268270120259,3,3
ConcreteAE,Vote,26,0.8707678075855689,2,3
ConcreteAE,Vote,27,0.8837187789084181,3,3
ConcreteAE,Vote,28,0.7536540240518039,3,3
ConcreteAE,Vote,29,0.8023126734505087,3,3
ConcreteAE,WDBC,0,0.9455364073901569,10,12
ConcreteAE,WDBC,1,0.9543083372147182,11,12
ConcreteAE,WDBC,2,0.9384257102934326,10,12
ConcreteAE,WDBC,3,0.9543393882937432,10,12
ConcreteAE,WDBC,4,0.9507685142058687,11,12
ConcreteAE,WDBC,5,0.9455674584691819,10,12
ConcreteAE,WDBC,6,0.9648967551622419,11,12
ConcreteAE,WDBC,7,0.9542617605961807,10,12
ConcreteAE,WDBC,8,0.9561248253376805,9,12
ConcreteAE,WDBC,9,0.9630802670392796,11,12
ConcreteAE,WDBC,10,0.9508306163639185,10,12
ConcreteAE,WDBC,11,0.9596025461884802,10,12
ConcreteAE,WDBC,12,0.9525384257102936,9,12
ConcreteAE,WDBC,13,0.9596025461884802,11,12
ConcreteAE,WDBC,14,0.9578636857630801,9,12
ConcreteAE,WDBC,15,0.9455519329296692,9,12
ConcreteAE,WDBC,16,0.9508461419034312,10,12
ConcreteAE,WDBC,17,0.9490141282409563,10,12
ConcreteAE,WDBC,18,0.9561092997981678,11,12
ConcreteAE,WDBC,19,0.9507995652848937,9,12
ConcreteAE,WDBC,20,0.9437820214252444,10,12
ConcreteAE,WDBC,21,0.9455674584691819,11,12
ConcreteAE,WDBC,22,0.9525384257102936,12,12
ConcreteAE,WDBC,23,0.9437509703462196,11,12
ConcreteAE,WDBC,24,0.9507685142058687,11,12
ConcreteAE,WDBC,25,0.9385033379909953,9,12
ConcreteAE,WDBC,26,0.9613414066138798,11,12
